crime,admissions,releases,total
arson,40,46,146
assault,2264,2346,5404
auto_theft,862,793,1840
burglary_or_criminal_trespass,1539,1652,3111
child_or_adult_abuse,182,154,299
child_molestation,194,202,1728
criminal_damage,143,140,163
domestic_violence,212,238,168
drug_possession,3610,3291,3570
drug_trafficking,2210,2724,5707
dui,1290,1426,1598
escape,122,108,167
forgery,282,384,417
fraud,102,98,288
identity_theft,163,205,347
kidnapping,185,224,1366
manslaughter_or_neg_homicide,118,133,757
murder,134,124,3077
other,956,972,1507
rape_or_sexual_assault,82,67,565
robbery,837,875,3568
sex_offense,673,564,2762
theft,912,977,1076
trafficking_in_stolen_property,275,328,720
weapons_offense,875,893,1849
